date,market_value,wn,rw
1994-07-01,469.9,834.0921310681722,1122.139662
1994-10-01,475.27,1441.6184016598495,1080.34786
1994-11-01,474.13,735.6373956151688,1082.095245
1994-12-01,474.17,491.1561743456715,1083.639265
1994-13-01,472.47,1260.4042083558552,1067.146255
1994-14-01,474.91,849.0138282204974,1080.12972
1994-17-01,473.3,867.3036494352111,1071.036309
1994-18-01,474.25,1073.2075332317406,1084.471693
1994-19-01,474.3,939.0971890616441,1026.649039
1994-20-01,474.98,966.4061898825728,1061.19424
1994-21-01,474.72,1260.8343099835015,1054.308122
1994-24-01,471.97,1464.0741427410894,1040.535104
1994-25-01,470.92,452.37341221644624,1057.83579
1994-26-01,473.2,1525.3068622731234,1041.120905
1994-27-01,477.05,1151.0686938738718,1044.791756
1994-28-01,478.7,1555.6854587047596,1046.486394
1994-31-01,481.61,1022.1666821480368,1079.764354
1994-01-02,479.62,1191.4266353643493,1117.782978
1994-02-02,482.0,1078.3308668225488,1131.95039
1994-03-02,480.71,564.9758386942049,1116.385374
1994-04-02,469.81,1185.9311942044474,1124.008725
1994-07-02,471.76,1336.4212968914808,1156.397785
1994-08-02,471.05,728.1373021140189,1111.179006
1994-09-02,472.77,594.6458267917078,1096.528238
1994-10-02,468.93,1000.2294236198877,1127.970216
1994-11-02,470.18,1483.7670965179348,1130.725996
1994-14-02,470.23,928.9709231274459,1122.547226
1994-15-02,472.52,639.3919897780536,1119.79884
1994-16-02,472.79,1277.0680640181602,1107.41095
1994-17-02,470.34,1051.869520934616,1146.121164
1994-18-02,467.69,1013.6604573954031,1147.428582
1994-21-02,467.69,1184.7086924262114,1134.741654
1994-22-02,471.46,1304.5906867896015,1151.847442
1994-23-02,470.69,1166.432213593068,1170.264534
1994-24-02,464.26,1383.5869319237238,1183.225417
1994-25-02,466.07,1297.2046728950252,1197.945483
1994-28-02,467.14,1393.267172858682,1215.791492
1994-01-03,464.44,1543.5239475544367,1193.55157
1994-02-03,464.81,660.9473173711642,1198.613678
1994-03-03,463.01,834.4376668300855,1217.590338
1994-04-03,464.74,1573.9047817339674,1174.98108
1994-07-03,466.91,1022.5773629043773,1099.127933
1994-08-03,465.88,1179.781002878863,1098.534895
1994-09-03,467.06,936.1474801463809,1082.262018
1994-10-03,463.9,1244.0344880008881,1103.634504
1994-11-03,466.44,830.7743984927806,1072.885738
1994-14-03,467.39,1078.2574248654767,1035.332342
1994-15-03,467.01,901.8185491352348,1033.191684
1994-16-03,469.42,1526.1141843024343,1021.7984
1994-17-03,470.9,723.1550939292292,1037.68722
1994-18-03,471.06,1530.864035161,1055.056629
1994-21-03,468.54,874.4235516316973,1038.228385
1994-22-03,468.8,1308.679228716548,1038.865751
1994-23-03,468.54,1209.8337964787152,1027.189445
1994-24-03,464.35,1276.7068402281488,1057.905733
1994-25-03,460.58,1286.914066011966,1073.735423
1994-28-03,460.0,1329.9800016896088,1086.281311
1994-29-03,452.48,1548.8106710162274,1086.655721
1994-30-03,445.55,1704.1572292216829,1100.33688
1994-31-03,445.77,1208.8254375756,1094.031493
1994-01-04,445.77,1126.1355765161227,1078.34098
1994-04-04,438.92,999.838796429734,1143.97531
1994-05-04,448.29,1569.8856890733105,1125.830825
1994-06-04,448.05,1477.5335076604506,1121.626121
1994-07-04,450.88,310.8576441989942,1141.746836
1994-08-04,447.1,1301.273233135242,1143.280848
1994-11-04,449.87,1120.9147467173254,1127.643351
1994-12-04,447.57,991.3171715847933,1126.377384
1994-13-04,446.26,784.9020260435914,1149.910265
1994-14-04,446.38,1313.2809396599678,1171.228379
1994-15-04,446.18,721.4215728357077,1171.472045
1994-18-04,442.46,1072.9590730581344,1106.149557
1994-19-04,442.54,2064.4852869966026,1095.701
1994-20-04,441.96,728.8579665417006,1090.322182
1994-21-04,448.73,1662.2097993320795,1087.713607
1994-22-04,447.63,1259.5154419502628,1089.805643
1994-25-04,452.71,1168.9604445087614,1097.599091
1994-26-04,451.87,922.031418999582,1075.977237
1994-27-04,451.87,1052.254593445278,1087.712491
1994-28-04,449.1,1373.5123180134838,1120.815847
1994-29-04,450.91,1147.939043004674,1133.691855
1994-02-05,453.02,1396.87657454681,1139.865847
1994-03-05,453.03,807.7265888995345,1134.984774
